/home/msztu223/miniconda3/envs/pytorch_cuda/bin/python /home/msztu223/PycharmProjects/ECG_PROJ/basic_rythm/main.py

📊 Dataset: cpsc_2018
      49578007                  2                         0
     195060002                  2                         0
     195080001                  2                         0
     413444003                  1                         0
     251180001                  1                         0
      63593006                  1                         0
      81898007                  1                         0

📊 SUMARYCZNE WYSTĄPIENIA (łącznie dla wszystkich baz):
        SNOMED  Total_Occurrences  Single_Label_Occurrences
     426783006              20766                      9102
      39732003               6086                        87
     164865005               5644                       162
     164934002               4673                       159
     164873001               3750                       239
     428750005               3557                       803
     164889003               3458                      1088
     164951009               3389                         0
     164861001               2559                       198
      59118001               2400                      1605
     270492004               2394                       754
     427084000               2390                       229
     426177001               2359                       456
     284470004               2323                       538
     429622005               1973                       796
     164884008               1896                       612
     445118002               1806                        31
     713426002               1611                        49
     111975006               1513                        49
     164930006               1473                       295
67741000119109               1298                       119
     427393009               1238                       127
     164867002               1168                       428
      59931005               1111                        40
     425623009               1047                        11
     164909002               1041                       217
     164917005               1013                         1
     698252002                996                        14
      55930002                777                        30
     713427006                683                         6
     425419005                670                         2
     251146004                556                        73
     164931005                448                       211
      47665007                427                         3
      54329005                416                        12
      17338001                395                        21
     164947007                340                         0
     426434006                325                         0
     164890007                313                        45
      10370003                299                       273
     426627000                277                         0
      89792004                232                         1
      63593006                211                         1
     251120003                205                         3
     445211001                202                         0
     427172004                188                        12
     413844008                161                         2
     251200008                156                         0
     428417006                140                        29
     446358003                117                         1
       6374002                116                         0
     266249003                106                         0
      11157007                 89                         0
      74390002                 82                         2
     233917008                 79                         2
     253352002                 72                         8
     426761007                 62                         0
     195126007                 62                         1
     195042002                 58                         5
     251268003                 52                         5
      27885002                 51                         3
     251266004                 46                        18
     713422000                 43                         0
     195080001                 41                        13
     446813000                 40                         0
     251180001                 25                         0
      67198005                 24                         3
     426664006                 19                         0
     253339007                 14                         0
     164896001                 13                         3
     251139008                 12                         0
     164921003                 11                         3
      65778007                  9                         1
     426995002                  9                         0
     195060002                  8                         1
     195101003                  7                         0
      29320008                  6                         0
     426648003                  6                         0
      49578007                  5                         0
      75532003                  3                         0
     251170000                  2                         0
     251164006                  2                         1
      81898007                  2                         0
     413444003                  2                         1
     111288001                  1                         1
     164895002                  1                         0
     164937009                  1                         0
     426749004                  1                         0
     251259000                  1                         0
     370365005                  1                         0
     704997005                  1                         0
      74615001                  1                         0
      77867006                  1                         0
      82226007                  1                         0

